model	task	config	metric	stock	traced	parity
hf-internal-testing/tiny-random-CohereForCausalLM	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	mmlu_high_school_psychology	hf-traced	acc,none	0.1926605504587156	0.1926605504587156	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
HuggingFaceTB/SmolLM2-135M	gsm8k	hf-traced	exact_match,flexible-extract	0.005	0.005	EQUAL
HuggingFaceTB/SmolLM2-135M	gsm8k	hf-traced	exact_match,strict-match	0.005	0.005	EQUAL
HuggingFaceTB/SmolLM2-135M	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
HuggingFaceTB/SmolLM2-135M	triviaqa	hf-traced	exact_match,remove_whitespace	0.03	0.03	EQUAL
HuggingFaceTB/SmolLM2-135M	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
Qwen/Qwen2.5-0.5B	gsm8k	hf-traced	exact_match,flexible-extract	0.31	0.31	EQUAL
Qwen/Qwen2.5-0.5B	gsm8k	hf-traced	exact_match,strict-match	0.305	0.305	EQUAL
Qwen/Qwen2.5-0.5B	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
Qwen/Qwen2.5-0.5B	triviaqa	hf-traced	exact_match,remove_whitespace	0.085	0.085	EQUAL
Qwen/Qwen2.5-0.5B	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
Qwen/Qwen3-0.6B	gsm8k	hf-traced	exact_match,flexible-extract	0.415	0.415	EQUAL
Qwen/Qwen3-0.6B	gsm8k	hf-traced	exact_match,strict-match	0.425	0.425	EQUAL
Qwen/Qwen3-0.6B	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
Qwen/Qwen3-0.6B	triviaqa	hf-traced	exact_match,remove_whitespace	0.02	0.02	EQUAL
Qwen/Qwen3-0.6B	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
EleutherAI/pythia-160m	gsm8k	hf-traced	exact_match,flexible-extract	0.0	0.0	EQUAL
EleutherAI/pythia-160m	gsm8k	hf-traced	exact_match,strict-match	0.0	0.0	EQUAL
EleutherAI/pythia-160m	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
EleutherAI/pythia-160m	triviaqa	hf-traced	exact_match,remove_whitespace	0.0	0.0	EQUAL
